"codePlatform";"code";"nom";"longitude";"latitude";"description"
"KONIENE";"KONIENE_Z012_T129";"T129";"164.777";"-21.1204";
"KONIENE";"KONIENE_Z012_T128";"T128";"164.782";"-21.1196";
"KONIENE";"KONIENE_Z012_T127";"T127";"164.783";"-21.1153";
"KONIENE";"KONIENE_Z011_T126";"T126";"164.782";"-21.1319";
"KONIENE";"KONIENE_Z011_T125";"T125";"164.782";"-21.1373";
"KONIENE";"KONIENE_Z011_T124";"T124";"164.78";"-21.1424";
"KONIENE";"KONIENE_Z011_T123";"T123";"164.774";"-21.1423";
"KONIENE";"KONIENE_Z011_T122";"T122";"164.776";"-21.1471";
"KONIENE";"KONIENE_Z011_T121";"T121";"164.776";"-21.1519";
"KONIENE";"KONIENE_Z011_T120";"T120";"164.774";"-21.1577";
"KONIENE";"KONIENE_Z011_T119";"T119";"164.77";"-21.1588";
"KONIENE";"KONIENE_Z011_T118";"T118";"164.771";"-21.1644";
"KONIENE";"KONIENE_Z011_T117";"T117";"164.771";"-21.1702";
"KONIENE";"KONIENE_Z010_T116";"T116";"164.766";"-21.1727";
